sku_id,name,frame_shape,material,color,price_point,current_stock,projected_demand_90d,gap,recommended_qty,urgency_score,urgency_band,estimated_cost_usd,estimated_margin_usd,margin_pct,preferred_supplier,supplier_risk_band,lead_time_days,demand_signal_drivers,similar_alternatives,confidence_score
SKU0117,Aluminium Rectangle 117,square,tr90,silver,premium,2801,28.150000000000002,0.0,92,0.277,medium,9528.44,14959.42,63.8,SUP008,medium,87,['high_velocity'],"['SKU0192', 'SKU0170', 'SKU0151']",0.8391
SKU0171,Titanium Aviator 171,square,titanium,rose_gold,budget,3518,71.66,0.0,98,0.2768,medium,2288.3,4758.9,70.2,SUP021,medium,30,"['high_velocity', 'supplier_risk']","['SKU0175', 'SKU0217', 'SKU0133']",0.7895
SKU0232,Aluminium Rectangle 232,wayfarer,acetate,gold,mid,2314,49.97,0.0,96,0.2629,medium,7330.56,11229.79,63.9,SUP005,medium,62,['supplier_risk'],"['SKU0278', 'SKU0102', 'SKU0099']",0.7958
SKU0165,Tr90 Cat Eye 165,wayfarer,stainless_steel,rose_gold,mid,2423,21.67,0.0,92,0.2622,medium,7786.88,8920.31,56.6,SUP021,medium,30,"['high_velocity', 'supplier_risk']","['SKU0180', 'SKU0018', 'SKU0069']",0.803
SKU0028,Wood Cat Eye 28,square,titanium,gold,budget,619,53.190000000000005,0.0,55,0.2546,medium,1281.5,2387.61,73.3,SUP025,high,57,['supplier_risk'],"['SKU0068', 'SKU0050', 'SKU0059']",0.6972
SKU0016,Acetate Rectangle 16,cat_eye,aluminium,rose_gold,budget,2777,52.45,0.0,101,0.2522,medium,2921.93,3861.02,60.3,SUP003,medium,56,['supplier_risk'],"['SKU0260', 'SKU0139', 'SKU0060']",0.7905
SKU0178,Aluminium Oval 178,round,tr90,clear,luxury,673,17.12,0.0,59,0.2504,medium,15465.08,28151.74,71.7,SUP009,medium,78,['standard_replenishment'],"['SKU0025', 'SKU0001', 'SKU0252']",0.7141
SKU0074,Wood Rectangle 74,oval,tr90,black,budget,3704,68.83,0.0,106,0.2495,low,2978.6,4136.57,61.0,SUP024,low,52,['high_velocity'],"['SKU0246', 'SKU0052', 'SKU0125']",0.8167
SKU0174,Titanium Oval 174,round,aluminium,tortoise,luxury,2922,25.490000000000002,0.0,98,0.2453,low,24437.28,29561.55,58.0,SUP009,medium,78,['standard_replenishment'],"['SKU0253', 'SKU0039', 'SKU0006']",0.7863
SKU0009,Tr90 Round 9,square,acetate,brown,budget,2880,106.32000000000001,0.0,100,0.2435,low,2722.0,3573.09,60.3,SUP003,medium,56,['supplier_risk'],"['SKU0213', 'SKU0047', 'SKU0065']",0.772
SKU0286,Tr90 Aviator 286,cat_eye,titanium,rose_gold,mid,2164,67.73,0.0,92,0.2379,low,6048.08,10694.57,67.5,SUP017,medium,45,['standard_replenishment'],"['SKU0274', 'SKU0147', 'SKU0262']",0.7836
SKU0157,Aluminium Rectangle 157,oval,wood,brown,budget,711,68.62,0.0,60,0.2377,low,2250.0,3913.36,68.4,SUP014,low,59,['standard_replenishment'],"['SKU0190', 'SKU0096', 'SKU0208']",0.7423
SKU0082,Wood Cat Eye 82,oval,wood,black,mid,3308,121.2,0.0,97,0.2359,low,6808.43,14098.04,71.0,SUP007,medium,54,['supplier_risk'],"['SKU0198', 'SKU0264', 'SKU0087']",0.7324
SKU0115,Tr90 Aviator 115,round,tr90,green,budget,837,44.47,0.0,64,0.2355,low,1356.8,1486.79,59.3,SUP009,medium,78,['standard_replenishment'],"['SKU0060', 'SKU0294', 'SKU0108']",0.717
SKU0290,Titanium Cat Eye 290,wayfarer,aluminium,clear,budget,2465,94.32,0.0,103,0.2341,low,2062.06,2741.04,61.3,SUP001,medium,63,['standard_replenishment'],"['SKU0195', 'SKU0058', 'SKU0253']",0.7756
SKU0138,Aluminium Rectangle 138,cat_eye,tr90,navy,mid,3289,118.87,0.0,100,0.2335,low,5761.0,11313.91,69.0,SUP014,low,59,['high_velocity'],"['SKU0041', 'SKU0250', 'SKU0291']",0.8002
SKU0239,Tr90 Oversized 239,oversized,tr90,red,budget,2916,116.73,0.0,86,0.2298,low,1769.02,2937.89,66.6,SUP025,high,57,['supplier_risk'],"['SKU0202', 'SKU0270', 'SKU0149']",0.7025
SKU0179,Aluminium Square 179,wayfarer,stainless_steel,red,premium,3023,133.99,0.0,102,0.2236,low,16864.68,21031.76,59.5,SUP002,medium,53,['supplier_risk'],"['SKU0110', 'SKU0045', 'SKU0256']",0.7616
SKU0088,Wood Round 88,wayfarer,wood,red,mid,2823,85.85,0.0,104,0.2173,low,11196.64,12357.74,55.8,SUP011,medium,59,['standard_replenishment'],"['SKU0288', 'SKU0045', 'SKU0087']",0.8041
SKU0100,Aluminium Cat Eye 100,round,wood,green,luxury,731,56.39,0.0,59,0.2159,low,14801.92,24840.32,69.0,SUP009,medium,78,['standard_replenishment'],"['SKU0054', 'SKU0168', 'SKU0026']",0.7121
SKU0148,Aluminium Round 148,oval,tr90,red,mid,3742,164.56,0.0,104,0.2151,low,6976.32,11282.43,66.4,SUP023,high,37,['supplier_risk'],"['SKU0300', 'SKU0045', 'SKU0001']",0.7013
SKU0163,Wood Rectangle 163,wayfarer,aluminium,navy,budget,2684,62.4,0.0,93,0.2137,low,2804.88,6714.74,74.0,SUP004,high,94,['supplier_risk'],"['SKU0079', 'SKU0040', 'SKU0297']",0.7402
SKU0081,Tr90 Round 81,cat_eye,wood,green,premium,3087,33.25,0.0,107,0.2104,low,10943.96,25815.04,73.7,SUP010,high,76,['supplier_risk'],"['SKU0090', 'SKU0166', 'SKU0123']",0.7645
SKU0240,Aluminium Oversized 240,aviator,wood,red,budget,2449,106.71000000000001,0.0,95,0.21,low,3639.45,5797.93,64.7,SUP012,medium,76,['standard_replenishment'],"['SKU0085', 'SKU0140', 'SKU0146']",0.7949
SKU0284,Titanium Wayfarer 284,aviator,titanium,rose_gold,budget,1405,44.02,0.0,61,0.2082,low,1632.36,2684.56,65.6,SUP017,medium,45,['standard_replenishment'],"['SKU0091', 'SKU0036', 'SKU0098']",0.733
SKU0053,Acetate Aviator 53,oval,acetate,rose_gold,premium,3639,105.55,0.0,100,0.2071,low,15036.0,20864.96,61.6,SUP012,medium,76,['standard_replenishment'],"['SKU0214', 'SKU0191', 'SKU0235']",0.7473
SKU0261,Titanium Oval 261,cat_eye,acetate,navy,budget,1278,44.84,0.0,66,0.2034,low,1469.16,1810.05,60.2,SUP023,high,37,['supplier_risk'],"['SKU0209', 'SKU0063', 'SKU0142']",0.7113
SKU0105,Tr90 Oval 105,square,stainless_steel,red,premium,4220,47.04,0.0,103,0.2016,low,15769.3,29912.94,69.3,SUP009,medium,78,['standard_replenishment'],"['SKU0185', 'SKU0005', 'SKU0153']",0.7013
SKU0143,Tr90 Cat Eye 143,cat_eye,stainless_steel,red,luxury,626,41.34,0.0,57,0.2005,low,24428.49,22646.89,57.7,SUP022,medium,70,['standard_replenishment'],"['SKU0189', 'SKU0015', 'SKU0012']",0.699
SKU0299,Titanium Round 299,rectangle,titanium,silver,premium,649,71.04,0.0,55,0.1979,low,7824.85,15840.87,71.3,SUP019,medium,67,['standard_replenishment'],"['SKU0137', 'SKU0007', 'SKU0129']",0.7415
SKU0156,Acetate Aviator 156,oval,aluminium,silver,premium,967,86.17,0.0,67,0.1974,low,5861.16,10180.39,70.4,SUP011,medium,59,['standard_replenishment'],"['SKU0055', 'SKU0226', 'SKU0001']",0.7096
SKU0218,Stainless_Steel Rectangle 218,cat_eye,aluminium,clear,budget,2327,154.24,0.0,94,0.1968,low,3424.42,5257.05,64.3,SUP019,medium,67,['standard_replenishment'],"['SKU0220', 'SKU0272', 'SKU0141']",0.7783
SKU0085,Stainless_Steel Oversized 85,round,wood,red,budget,559,49.0,0.0,55,0.1957,low,1582.9,1686.5,62.3,SUP016,medium,82,['standard_replenishment'],"['SKU0021', 'SKU0005', 'SKU0039']",0.6938
SKU0273,Wood Aviator 273,square,wood,clear,budget,911,61.2,0.0,65,0.1863,low,2427.75,2274.09,55.4,SUP011,medium,59,['standard_replenishment'],"['SKU0140', 'SKU0026', 'SKU0029']",0.7112
SKU0056,Titanium Oval 56,cat_eye,stainless_steel,rose_gold,premium,2419,53.79,0.0,94,0.186,low,11436.04,20631.23,68.0,SUP022,medium,70,['standard_replenishment'],"['SKU0260', 'SKU0018', 'SKU0143']",0.7667
SKU0079,Wood Oval 79,wayfarer,aluminium,navy,mid,2893,96.98,0.0,97,0.1855,low,4560.94,10217.96,72.3,SUP019,medium,67,['standard_replenishment'],"['SKU0163', 'SKU0040', 'SKU0297']",0.7591
SKU0184,Stainless_Steel Oversized 184,aviator,titanium,green,mid,2877,135.71,0.0,91,0.1855,low,5438.16,7919.45,62.9,SUP019,medium,67,['standard_replenishment'],"['SKU0034', 'SKU0113', 'SKU0007']",0.7449
SKU0030,Stainless_Steel Aviator 30,oversized,aluminium,clear,premium,784,4.73,0.0,53,0.1832,low,7005.01,8064.66,59.0,SUP025,high,57,['supplier_risk'],"['SKU0202', 'SKU0233', 'SKU0046']",0.7052
SKU0092,Titanium Square 92,cat_eye,tr90,brown,premium,1139,95.89,0.0,62,0.1777,low,7467.28,7998.54,57.1,SUP007,medium,54,['supplier_risk'],"['SKU0012', 'SKU0143', 'SKU0202']",0.6966
SKU0298,Wood Square 298,oversized,tr90,black,premium,2758,110.41,0.0,99,0.1773,low,11743.38,24071.8,71.0,SUP022,medium,70,['standard_replenishment'],"['SKU0017', 'SKU0109', 'SKU0162']",0.7543
SKU0015,Wood Round 15,cat_eye,stainless_steel,green,mid,885,18.919999999999998,0.0,58,0.1772,low,2991.06,5306.18,69.2,SUP023,high,37,['supplier_risk'],"['SKU0143', 'SKU0056', 'SKU0080']",0.6933
SKU0213,Tr90 Oval 213,round,acetate,brown,budget,1653,13.69,0.0,66,0.1758,low,1595.88,1599.07,55.1,SUP004,high,94,['supplier_risk'],"['SKU0009', 'SKU0164', 'SKU0048']",0.6774
SKU0282,Aluminium Aviator 282,oval,wood,gold,budget,791,53.76,0.0,58,0.1736,low,1872.82,2052.91,63.0,SUP003,medium,56,['supplier_risk'],"['SKU0269', 'SKU0037', 'SKU0048']",0.6772
SKU0167,Aluminium Wayfarer 167,square,tr90,brown,premium,1002,66.19,0.0,63,0.1733,low,7472.43,14950.16,71.2,SUP010,high,76,['supplier_risk'],"['SKU0031', 'SKU0002', 'SKU0047']",0.7196
SKU0094,Stainless_Steel Round 94,wayfarer,titanium,silver,mid,886,13.67,0.0,58,0.1715,low,3822.78,6659.9,68.5,SUP018,medium,47,['supplier_risk'],"['SKU0097', 'SKU0059', 'SKU0004']",0.7081
SKU0011,Titanium Oval 11,round,tr90,navy,mid,867,22.080000000000002,0.0,58,0.1714,low,3809.44,4924.05,63.9,SUP007,medium,54,['supplier_risk'],"['SKU0032', 'SKU0042', 'SKU0054']",0.6902
SKU0192,Wood Oval 192,square,tr90,tortoise,budget,2098,108.61999999999999,0.0,90,0.1698,low,2856.6,4776.88,66.7,SUP011,medium,59,['standard_replenishment'],"['SKU0068', 'SKU0093', 'SKU0117']",0.7509
SKU0196,Aluminium Wayfarer 196,wayfarer,tr90,gold,budget,2666,182.25,0.0,101,0.1694,low,2852.24,5026.87,68.1,SUP001,medium,63,['standard_replenishment'],"['SKU0022', 'SKU0250', 'SKU0024']",0.7464
SKU0004,Stainless_Steel Square 4,oversized,titanium,brown,premium,1425,83.94,0.0,60,0.169,low,8952.6,10963.58,60.6,SUP007,medium,54,['supplier_risk'],"['SKU0219', 'SKU0019', 'SKU0042']",0.6518
SKU0283,Wood Rectangle 283,oversized,titanium,navy,budget,804,52.21,0.0,58,0.1665,low,1454.06,1387.92,56.3,SUP009,medium,78,['standard_replenishment'],"['SKU0175', 'SKU0122', 'SKU0073']",0.6975
SKU0084,Wood Square 84,wayfarer,aluminium,navy,budget,2649,138.22,0.0,97,0.1657,low,2761.59,4433.04,65.9,SUP022,medium,70,['standard_replenishment'],"['SKU0061', 'SKU0052', 'SKU0098']",0.7426
SKU0198,Acetate Oversized 198,oval,stainless_steel,black,premium,1045,60.84,0.0,63,0.1641,low,7250.04,13161.92,71.7,SUP025,high,57,['supplier_risk'],"['SKU0082', 'SKU0107', 'SKU0127']",0.6833
SKU0048,Stainless_Steel Wayfarer 48,oval,acetate,brown,budget,2458,150.23,0.0,102,0.1631,low,2438.82,3670.98,64.7,SUP014,low,59,['standard_replenishment'],"['SKU0051', 'SKU0164', 'SKU0230']",0.7455
SKU0168,Stainless_Steel Wayfarer 168,round,titanium,green,premium,2371,96.41,0.0,90,0.1605,low,11188.8,26787.82,74.4,SUP012,medium,76,['standard_replenishment'],"['SKU0131', 'SKU0100', 'SKU0108']",0.7333
SKU0104,Tr90 Round 104,cat_eye,aluminium,red,luxury,1158,41.1,0.0,57,0.1602,low,13983.24,14725.62,57.5,SUP007,medium,54,['supplier_risk'],"['SKU0071', 'SKU0023', 'SKU0132']",0.6637
SKU0255,Acetate Round 255,wayfarer,stainless_steel,rose_gold,budget,990,20.28,0.0,57,0.1584,low,885.78,1666.83,70.8,SUP018,medium,47,['supplier_risk'],"['SKU0018', 'SKU0210', 'SKU0260']",0.6781
SKU0271,Wood Oversized 271,wayfarer,wood,black,budget,1032,6.18,0.0,65,0.1581,low,1909.7,2240.57,60.1,SUP005,medium,62,['supplier_risk'],"['SKU0269', 'SKU0181', 'SKU0029']",0.6997
SKU0132,Acetate Cat Eye 132,cat_eye,wood,clear,luxury,763,31.06,0.0,56,0.1579,low,15160.32,31955.52,74.0,SUP013,medium,52,['standard_replenishment'],"['SKU0023', 'SKU0140', 'SKU0100']",0.695
SKU0281,Aluminium Cat Eye 281,aviator,aluminium,clear,budget,865,46.35,0.0,58,0.1575,low,1634.44,2621.92,66.8,SUP021,medium,30,['supplier_risk'],"['SKU0234', 'SKU0029', 'SKU0140']",0.7071
SKU0018,Stainless_Steel Rectangle 18,wayfarer,stainless_steel,rose_gold,budget,1442,57.78,0.0,71,0.1573,low,2221.59,3626.8,68.1,SUP007,medium,54,['supplier_risk'],"['SKU0153', 'SKU0255', 'SKU0165']",0.6811
SKU0262,Acetate Rectangle 262,cat_eye,titanium,brown,premium,638,57.71,0.0,54,0.1545,low,6652.26,5211.49,60.4,SUP015,medium,84,['standard_replenishment'],"['SKU0274', 'SKU0286', 'SKU0023']",0.6572
SKU0289,Stainless_Steel Oversized 289,wayfarer,tr90,tortoise,mid,884,17.03,0.0,65,0.1545,low,2661.75,4584.25,71.7,SUP008,medium,87,['standard_replenishment'],"['SKU0288', 'SKU0045', 'SKU0087']",0.6895
SKU0228,Wood Aviator 228,cat_eye,acetate,navy,mid,1267,44.36,0.0,62,0.1534,low,4581.18,9027.66,70.4,SUP024,low,52,['standard_replenishment'],"['SKU0065', 'SKU0238', 'SKU0261']",0.7252
SKU0031,Stainless_Steel Wayfarer 31,square,tr90,rose_gold,premium,860,61.9,0.0,62,0.1526,low,11695.68,10051.5,56.5,SUP009,medium,78,['standard_replenishment'],"['SKU0076', 'SKU0167', 'SKU0242']",0.6788
SKU0054,Stainless_Steel Rectangle 54,round,wood,navy,premium,1139,76.76,0.0,62,0.1524,low,7251.52,13640.77,70.2,SUP005,medium,62,['supplier_risk'],"['SKU0100', 'SKU0023', 'SKU0032']",0.6959
SKU0164,Acetate Aviator 164,round,acetate,brown,budget,822,50.93,0.0,59,0.1513,low,1164.66,1807.83,72.2,SUP021,medium,30,['supplier_risk'],"['SKU0048', 'SKU0213', 'SKU0197']",0.6684
SKU0027,Acetate Cat Eye 27,aviator,acetate,green,mid,622,75.27,0.0,51,0.151,low,4681.29,4040.81,59.1,SUP003,medium,56,['supplier_risk'],"['SKU0070', 'SKU0152', 'SKU0168']",0.665
SKU0195,Acetate Oval 195,square,aluminium,clear,budget,4697,55.39,0.0,110,0.1505,low,2960.1,7080.39,74.4,SUP019,medium,67,['standard_replenishment'],"['SKU0290', 'SKU0005', 'SKU0039']",0.6897
SKU0141,Acetate Aviator 141,cat_eye,aluminium,gold,mid,1195,10.35,0.0,61,0.1494,low,3522.14,8363.73,75.0,SUP005,medium,62,['supplier_risk'],"['SKU0220', 'SKU0116', 'SKU0211']",0.6759
SKU0026,Aluminium Oversized 26,square,wood,green,budget,1050,106.51,0.0,62,0.1481,low,1971.6,2686.86,66.8,SUP023,high,37,['supplier_risk'],"['SKU0050', 'SKU0100', 'SKU0108']",0.6629
SKU0078,Aluminium Aviator 78,oval,tr90,green,premium,1374,2.59,0.0,69,0.1481,low,8666.4,10947.89,65.1,SUP023,high,37,['supplier_risk'],"['SKU0067', 'SKU0169', 'SKU0001']",0.6572
SKU0225,Titanium Round 225,rectangle,titanium,navy,budget,1202,43.77,0.0,54,0.1479,low,1315.44,1429.13,58.3,SUP002,medium,53,['supplier_risk'],"['SKU0177', 'SKU0299', 'SKU0084']",0.6286
SKU0270,Aluminium Wayfarer 270,oversized,titanium,green,budget,686,7.18,0.0,55,0.146,low,1404.15,2148.74,70.9,SUP011,medium,59,['standard_replenishment'],"['SKU0266', 'SKU0249', 'SKU0036']",0.6792
SKU0086,Wood Oversized 86,round,titanium,tortoise,budget,968,84.32,0.0,66,0.1458,low,2504.04,2837.83,68.1,SUP005,medium,62,['supplier_risk'],"['SKU0051', 'SKU0131', 'SKU0164']",0.6551
SKU0067,Aluminium Wayfarer 67,oval,tr90,navy,mid,1025,26.060000000000002,0.0,63,0.1445,low,5720.4,6064.83,58.9,SUP003,medium,56,['supplier_risk'],"['SKU0169', 'SKU0078', 'SKU0037']",0.6869
SKU0036,Aluminium Aviator 36,oversized,titanium,rose_gold,budget,1378,55.68,0.0,64,0.1438,low,1618.56,3318.73,72.8,SUP004,high,94,['supplier_risk'],"['SKU0175', 'SKU0214', 'SKU0018']",0.6604
SKU0234,Titanium Wayfarer 234,aviator,aluminium,brown,mid,679,49.95,0.0,55,0.1428,low,4310.9,3990.75,61.4,SUP017,medium,45,['standard_replenishment'],"['SKU0040', 'SKU0055', 'SKU0281']",0.6681
SKU0242,Tr90 Aviator 242,wayfarer,tr90,rose_gold,premium,1198,49.0,0.0,58,0.1423,low,9232.44,8591.87,59.1,SUP023,high,37,['supplier_risk'],"['SKU0293', 'SKU0031', 'SKU0044']",0.6247
SKU0091,Stainless_Steel Cat Eye 91,round,titanium,rose_gold,budget,897,70.26,0.0,55,0.1378,low,1596.65,2717.46,69.3,SUP005,medium,62,['supplier_risk'],"['SKU0098', 'SKU0284', 'SKU0062']",0.6696
SKU0233,Acetate Aviator 233,square,acetate,clear,luxury,804,62.67,0.0,58,0.1375,low,14732.0,16190.88,67.1,SUP003,medium,56,['supplier_risk'],"['SKU0268', 'SKU0030', 'SKU0043']",0.6529
SKU0291,Wood Aviator 291,cat_eye,acetate,navy,premium,906,41.42,0.0,55,0.1365,low,8424.9,11075.93,68.2,SUP023,high,37,['supplier_risk'],"['SKU0209', 'SKU0057', 'SKU0138']",0.6474
SKU0263,Stainless_Steel Wayfarer 263,square,stainless_steel,gold,mid,959,42.21,0.0,61,0.1351,low,5696.18,6061.58,59.3,SUP004,high,94,['supplier_risk'],"['SKU0193', 'SKU0116', 'SKU0151']",0.6833
SKU0124,Tr90 Oval 124,rectangle,stainless_steel,red,mid,956,59.81,0.0,64,0.1323,low,3584.0,2841.02,55.8,SUP011,medium,59,['standard_replenishment'],"['SKU0179', 'SKU0146', 'SKU0045']",0.6758
SKU0219,Aluminium Oversized 219,oversized,wood,brown,luxury,948,85.51,0.0,58,0.1322,low,11079.74,12561.66,62.6,SUP018,medium,47,['supplier_risk'],"['SKU0004', 'SKU0276', 'SKU0075']",0.6599
SKU0259,Tr90 Oversized 259,rectangle,titanium,silver,budget,967,19.73,0.0,62,0.1316,low,1839.54,2696.05,67.4,SUP010,high,76,['supplier_risk'],"['SKU0215', 'SKU0007', 'SKU0137']",0.6808
SKU0220,Titanium Oversized 220,cat_eye,aluminium,clear,mid,574,31.89,0.0,52,0.1284,low,3604.12,4778.1,69.5,SUP012,medium,76,['standard_replenishment'],"['SKU0218', 'SKU0141', 'SKU0272']",0.6677
SKU0161,Tr90 Square 161,aviator,stainless_steel,tortoise,budget,1050,38.25,0.0,63,0.1283,low,2226.42,2513.96,60.8,SUP021,medium,30,['supplier_risk'],"['SKU0134', 'SKU0103', 'SKU0136']",0.6797
SKU0118,Acetate Aviator 118,square,aluminium,gold,premium,1275,57.03,0.0,62,0.1274,low,7446.2,14895.66,73.0,SUP013,medium,52,['standard_replenishment'],"['SKU0159', 'SKU0162', 'SKU0102']",0.6578
SKU0264,Tr90 Round 264,oval,wood,brown,budget,1057,39.78,0.0,55,0.1264,low,1894.2,2133.92,63.6,SUP018,medium,47,['supplier_risk'],"['SKU0082', 'SKU0009', 'SKU0048']",0.6269
SKU0256,Acetate Aviator 256,wayfarer,stainless_steel,green,premium,1566,33.31,0.0,66,0.126,low,6996.66,9567.19,65.6,SUP010,high,76,['supplier_risk'],"['SKU0110', 'SKU0080', 'SKU0179']",0.6341
SKU0203,Titanium Oversized 203,oval,titanium,clear,mid,884,6.58,0.0,58,0.126,low,5951.38,5701.9,57.2,SUP010,high,76,['supplier_risk'],"['SKU0004', 'SKU0019', 'SKU0042']",0.6804
SKU0300,Stainless_Steel Square 300,oval,tr90,red,mid,1288,20.41,0.0,61,0.1253,low,4337.71,4960.04,64.6,SUP007,medium,54,['supplier_risk'],"['SKU0148', 'SKU0045', 'SKU0001']",0.6272
SKU0268,Wood Wayfarer 268,square,acetate,clear,budget,688,31.11,0.0,51,0.1248,low,1129.65,896.5,59.0,SUP023,high,37,['supplier_risk'],"['SKU0245', 'SKU0233', 'SKU0009']",0.644
SKU0006,Tr90 Aviator 6,round,titanium,tortoise,luxury,1042,3.41,0.0,52,0.1246,low,17412.72,17659.95,59.4,SUP002,medium,53,['supplier_risk'],"['SKU0222', 'SKU0237', 'SKU0091']",0.6205
SKU0214,Stainless_Steel Oversized 214,oversized,acetate,rose_gold,premium,1136,64.36,0.0,64,0.1242,low,7518.08,10529.46,63.3,SUP024,low,52,['standard_replenishment'],"['SKU0053', 'SKU0036', 'SKU0199']",0.7129
SKU0288,Acetate Cat Eye 288,wayfarer,wood,tortoise,mid,858,49.78,0.0,60,0.1238,low,2718.6,4946.94,72.4,SUP017,medium,45,['standard_replenishment'],"['SKU0087', 'SKU0088', 'SKU0289']",0.6787
SKU0112,Acetate Oversized 112,oval,aluminium,red,budget,1324,36.61,0.0,60,0.1219,low,2205.6,1901.51,61.5,SUP023,high,37,['supplier_risk'],"['SKU0010', 'SKU0058', 'SKU0005']",0.5955
SKU0123,Stainless_Steel Aviator 123,cat_eye,tr90,green,budget,881,59.269999999999996,0.0,59,0.1217,low,764.64,1282.17,74.3,SUP021,medium,30,['supplier_risk'],"['SKU0041', 'SKU0081', 'SKU0037']",0.6588
SKU0032,Stainless_Steel Rectangle 32,round,aluminium,navy,luxury,1196,61.46,0.0,57,0.1213,low,15161.43,17342.59,58.5,SUP024,low,52,['standard_replenishment'],"['SKU0011', 'SKU0101', 'SKU0162']",0.6776
SKU0058,Acetate Oval 58,wayfarer,aluminium,red,mid,1040,1.72,0.0,56,0.121,low,3884.16,6521.15,69.0,SUP015,medium,84,['standard_replenishment'],"['SKU0253', 'SKU0278', 'SKU0102']",0.6609
SKU0033,Stainless_Steel Wayfarer 33,rectangle,titanium,black,mid,1249,6.640000000000001,0.0,66,0.121,low,3573.24,7767.21,74.3,SUP015,medium,84,['standard_replenishment'],"['SKU0007', 'SKU0137', 'SKU0014']",0.6787
SKU0295,Aluminium Cat Eye 295,wayfarer,titanium,brown,premium,1494,54.1,0.0,64,0.1203,low,6458.24,6706.8,59.9,SUP005,medium,62,['supplier_risk'],"['SKU0040', 'SKU0130', 'SKU0197']",0.6239
SKU0057,Aluminium Oval 57,oval,acetate,navy,mid,885,14.459999999999999,0.0,55,0.1172,low,5074.3,4852.06,57.9,SUP010,high,76,['supplier_risk'],"['SKU0160', 'SKU0291', 'SKU0209']",0.6555
SKU0292,Wood Oval 292,cat_eye,titanium,red,budget,1096,4.78,0.0,66,0.1166,low,2368.08,1839.46,55.9,SUP009,medium,78,['standard_replenishment'],"['SKU0063', 'SKU0226', 'SKU0086']",0.6632
SKU0065,Acetate Rectangle 65,square,acetate,navy,mid,948,25.21,0.0,58,0.1166,low,3794.94,5641.88,68.2,SUP021,medium,30,['supplier_risk'],"['SKU0228', 'SKU0238', 'SKU0009']",0.6622
SKU0274,Tr90 Cat Eye 274,cat_eye,titanium,rose_gold,mid,799,38.99,0.0,56,0.1165,low,4007.92,5355.09,67.5,SUP009,medium,78,['standard_replenishment'],"['SKU0286', 'SKU0147', 'SKU0262']",0.6676
